"","SRR12650992","SRR12650993","SRR12650994","SRR12650995"
"ENSMUSG00000141142",70.8662298246817,41.7611813734232,76.6888212841029,67.4405045206519
"ENSMUSG00000141161",90.7724741574575,68.7831222621088,38.3444106420514,78.6805886074272
"ENSMUSG00000052125",782.713527164743,765.621658512759,541.332856123079,673.156146974655
"ENSMUSG00000141231",17.5174950128427,48.3119549221955,38.3444106420514,84.9250797667468
"ENSMUSG00000141452",0.79624977331103,8.18846693596533,20.2999821046155,4.9955929274557
"ENSMUSG00000141637",7.9624977331103,49.130801615792,0,3.74669469559177
"ENSMUSG00000141788",40.6087384388626,63.0511954069331,71.0499373661541,123.640924954528
"ENSMUSG00000142425",0,12.282700403948,24.8110892389745,4.9955929274557
"ENSMUSG00000142614",5.57374841317721,8.18846693596533,256.005329874873,176.094650692813
"ENSMUSG00000120715",531.894848571768,384.857945990371,1140.18232820924,1396.26822322387
"ENSMUSG00000142744",61.3112325449493,31.9350210502648,250.366445956924,134.881009041304
"ENSMUSG00000142825",3.98124886655515,8.18846693596533,0,23.7290664054146
"ENSMUSG00000112278",15.9249954662206,1.63769338719307,15.7888749702565,44.9603363471013
"ENSMUSG00000142955",7.9624977331103,14.7392404847376,0,12.4889823186392
"ENSMUSG00000114050",49.3674859452839,58.1381152453539,131.949883680001,258.521933995832
"ENSMUSG00000093579",59.7187329983273,64.6888887941261,62.0277230974362,49.955929274557
"ENSMUSG00000143491",9.55499727973237,9.8261603231584,0,0
"ENSMUSG00000113985",42.9974877587956,67.9642755685123,30.4499731569232,27.4757611010063
"ENSMUSG00000113265",7.9624977331103,45.0365681478093,13.533321403077,0
"ENSMUSG00000097788",22.2949936527089,0,98.1165801723081,61.1960133613323
"ENSMUSG00000112977",23.0912434260199,3.27538677438613,15.7888749702565,7.49338939118354
"ENSMUSG00000096942",10.3512470530434,11.4638537103515,20.2999821046155,7.49338939118354
"ENSMUSG00000121309",142.528709422674,117.095077184304,90.2221426871799,29.9735575647342
"ENSMUSG00000137308",3.18499909324412,3.27538677438613,75.5610445005131,66.191606288788
"ENSMUSG00000021908",7.9624977331103,11.4638537103515,13.533321403077,4.9955929274557
"ENSMUSG00000129170",120.233715769966,65.5077354877227,84.5832587692311,68.6894027525158
"ENSMUSG00000144089",19.1099945594647,14.7392404847376,41.7277409928207,24.9779646372785
"ENSMUSG00000113830",19.1099945594647,0,38.3444106420514,7.49338939118354
"ENSMUSG00000090185",42.9974877587956,49.9496483093885,0,6.24449115931962
"ENSMUSG00000079179",1442.00833946628,1019.46413352768,1414.23208662154,1552.38050220686
"ENSMUSG00000084979",15.9249954662206,9.8261603231584,0,9.99118585491139
"ENSMUSG00000097494",38.2199891189295,67.1454288749157,30.4499731569232,102.409655012842
"ENSMUSG00000112343",20.7024941060868,16.3769338719307,2.2555535671795,27.4757611010063
"ENSMUSG00000123862",13.5362461462875,27.8407875822821,13.533321403077,54.9515222020127
"ENSMUSG00000114113",12.7399963729765,4.9130801615792,45.1110713435899,24.9779646372785
"ENSMUSG00000113634",6.36999818648824,22.9277074207029,0,19.9823717098228
"ENSMUSG00000118449",76.4399782378589,57.3192685517573,34.9610802912822,182.339141852133
"ENSMUSG00000091947",24.6837429726419,15.5580871783341,27.066642806154,11.2400840867753
"ENSMUSG00000120595",16.7212452395316,20.4711673399133,5.63888391794874,24.9779646372785
"ENSMUSG00000121318",19.9062443327758,3.27538677438613,18.044428537436,0
"ENSMUSG00000112569",4.77749863986618,9.8261603231584,13.533321403077,4.9955929274557
"ENSMUSG00000120091",241.263681313242,257.936708482908,342.844142211283,268.513119850744
"ENSMUSG00000036061",151.287456929096,217.813220496678,72.1777141497439,92.4184691579304
