"","logFC","AveExpr","t","P.Value","adj.P.Val","B","significant"
"Cisd2",-0.650485567341594,5.36856801075572,-3.64920753136229,0.00312991444727956,0.00842223867414613,-2.37953450295413,FALSE
"Dym",-0.64706603091817,5.21758592687195,-3.63323267241634,0.00322487740810329,0.00861978592209366,-2.38186584632811,FALSE
"Sar1b",1.17432469099503,3.51473495800827,3.36954859030938,0.00529325412192909,0.0129064410165903,-2.3824801900616,TRUE
"Mgat1",0.767813167908569,5.28781695926289,3.62399567341514,0.00328112201235908,0.0087438294799709,-2.3831935644531,FALSE
"Ssh3",-0.698297367707396,4.93085979099586,-3.60066148076382,0.00342769943393974,0.009056009072496,-2.38436481070956,FALSE
"Acot7",-1.2444655259868,2.97950217122776,-3.31859374721248,0.00582738536041553,0.0139161441442759,-2.38450722761989,TRUE
"Crybg1",0.688117052403644,5.28116139742704,3.62433923499824,0.00327901225133665,0.00874111896390976,-2.3845725064118,FALSE
"Plekhm3",0.575319007182179,6.8987027944699,3.74476560894705,0.00261848681547633,0.00728622418219501,-2.38849826156691,FALSE
"Idh2",1.60400184346093,2.36162876609587,3.20944822823978,0.0071617222582654,0.0163899552143267,-2.39135290962615,TRUE
"Bmi1",1.11903392971274,3.71782993187436,3.39177840475988,0.005075998782092,0.0124759709386479,-2.40113196569795,TRUE
"Fbxl18",-1.10877248954837,3.58592203463736,-3.40300250624499,0.00496975327914211,0.0122596442285343,-2.4015539035211,TRUE
"Mylip",-0.52118309572857,7.18196522704488,-3.75370961423079,0.00257521531732461,0.00719333887520842,-2.40159389462363,FALSE
"Nkap",1.33953322293427,2.77072156739411,3.25651412174922,0.00655222138525669,0.0152732433222767,-2.40271012614135,TRUE
"Fam193a",0.595002110729832,5.74831130560701,3.66155356073105,0.00305848009361053,0.00828295218310231,-2.40438911589573,FALSE
"Pde12",0.794544638957061,5.15142358139961,3.59782388484058,0.00344597341400486,0.00908928035345824,-2.40447715879167,FALSE
"Rnf13",-0.544614831978789,6.57511971743729,-3.72695332858464,0.00270689145766753,0.0074905332623107,-2.40614941029599,FALSE
